District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month
Arghakhanchi,1/1/1981,27.9,83.2,2.781455614,93.11658616,9.347330287,48.57962794,22.0810705,9.170522193,28.38623368,17.19231723,11.19374674,21.58155352,2.614634465,4.498446475,1.002930809,3.495345953,3.549523499,5.294223238,1.41156658,3.882800261,1981,1
Arghakhanchi,3/12/1985,27.9,83.2,2.41825718,93.10139034,8.9604047,45.52303525,22.98943864,8.334464752,29.44960183,17.82510444,11.62435379,22.65599869,2.689053525,4.635796345,1.037539164,3.598120104,3.613968668,5.377199739,1.478250653,3.899255875,1985,3
Arghakhanchi,5/22/1989,27.9,83.2,2.475646214,93.10899478,9.337956919,45.51982376,23.19982376,8.756664491,29.56393603,18.16143603,11.40258486,22.95312663,2.728831593,4.653936031,1.059027415,3.594934726,3.675620104,5.426520888,1.533733681,3.892774151,1989,5
Arghakhanchi,8/1/1993,27.9,83.2,1.886383812,93.10395561,9.142304178,43.97105744,23.21182115,8.25578329,29.69970627,18.11964099,11.58003916,22.9620953,2.710620104,4.769582245,0.995417755,3.774157963,3.615763708,5.413061358,1.419732376,3.993368146,1993,8
Arghakhanchi,10/11/1997,27.9,83.2,2.05694517,93.11778721,9.250718016,45.12811358,22.87767624,8.271233681,29.31381201,17.95315927,11.36030026,22.52391645,2.594131854,4.509889034,0.960972585,3.54866188,3.438596606,5.134386423,1.337898172,3.796331593,1997,10
Arghakhanchi,12/21/2001,27.9,83.2,2.355006527,93.17456266,9.325091384,47.42569843,22.66255222,9.159144909,28.93099869,17.76822454,11.16277415,22.25446475,2.559791123,4.386906005,0.974262402,3.412911227,3.430881201,5.118426893,1.387513055,3.731011749,2001,12
Arghakhanchi,3/2/2006,27.9,83.2,3.995685379,93.13446475,10.53947781,54.60883812,22.49042428,11.25681462,28.28018277,17.89995431,10.38020888,21.95193864,2.419144909,4.133263708,0.927715405,3.20560705,3.280065274,4.90113577,1.319210183,3.581795039,2006,3
Arghakhanchi,5/12/2010,27.9,83.2,4.486573107,93.08341384,10.98619452,57.60660574,22.49498695,12.19141645,28.09589426,18.00729765,10.08853133,22.02149478,2.483002611,4.28613577,0.983394256,3.302565274,3.36267624,5.032362924,1.422969974,3.609386423,2010,5
Arghakhanchi,7/22/2014,27.9,83.2,4.649614631,93.13306989,11.37367734,56.94157413,22.88565643,12.57433703,28.42789027,18.52211626,9.905911169,22.18484651,2.439902025,4.154624428,0.946910516,3.207655127,3.351815807,5.005865447,1.384911822,3.62101241,2014,7
Arghakhanchi,9/30/2018,27.9,83.2,3.549015317,93.29811816,10.68102845,58.74901532,21.53161926,12.02814004,27.13641138,17.2638512,9.873172867,20.83549234,2.39190372,4.122100656,0.913304158,3.20892779,3.292275711,4.99940919,1.295448578,3.704245077,2018,9
Baglung,1/1/1981,28.3,83.6,2.31982376,79.24483681,7.483093995,56.46227154,13.10631201,3.232167102,18.87939295,8.722513055,10.15693864,12.43936684,2.190084856,4.699804178,0.404889034,4.294928198,2.192284595,4.09924282,0.521631854,3.577519582,1981,1
