District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,Heat_Stress_Index,Drought_Index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed
Arghakhanchi,1985-03-12,27.9,83.2,2.41825718,93.10139034,8.9604047,45.52303525,22.98943864,8.334464752,29.44960183,17.82510444,11.62435379,22.65599869,2.689053525,4.635796345,1.037539164,3.598120104,3.613968668,5.377199739,1.478250653,3.899255875,1985,3,23.88547911,1.4949482452338119,0,0,22.0810705,2.781455614,14.654973887999999,3.1515110965,5.0064980420000005
Arghakhanchi,1989-05-22,27.9,83.2,2.475646214,93.10899478,9.337956919,45.51982376,23.19982376,8.756664491,29.56393603,18.16143603,11.40258486,22.95312663,2.728831593,4.653936031,1.059027415,3.594934726,3.675620104,5.426520888,1.533733681,3.892774151,1989,5,24.1336194519,1.4904171563974336,0,0,22.98943864,2.41825718,14.443159269,3.2022258485000004,5.0402284595
Arghakhanchi,1993-08-01,27.9,83.2,1.886383812,93.10395561,9.142304178,43.97105744,23.21182115,8.25578329,29.69970627,18.11964099,11.58003916,22.9620953,2.710620104,4.769582245,0.995417755,3.774157963,3.615763708,5.413061358,1.419732376,3.993368146,1993,8,24.126051567799998,1.6077808501081796,1,0,23.19982376,2.475646214,14.956037859999999,3.1631919059999998,5.0913218014999995
Arghakhanchi,1997-10-11,27.9,83.2,2.05694517,93.11778721,9.250718016,45.12811358,22.87767624,8.271233681,29.31381201,17.95315927,11.36030026,22.52391645,2.594131854,4.509889034,0.960972585,3.54866188,3.438596606,5.134386423,1.337898172,3.796331593,1997,10,23.8027480416,1.5630262829030626,0,0,23.21182115,1.886383812,14.606442559,3.0163642299999998,4.8221377284999996
Arghakhanchi,2001-12-21,27.9,83.2,2.355006527,93.17456266,9.325091384,47.42569843,22.66255222,9.159144909,28.93099869,17.76822454,11.16277415,22.25446475,2.559791123,4.386906005,0.974262402,3.412911227,3.430881201,5.118426893,1.387513055,3.731011749,2001,12,23.5950613584,1.4968436021082838,0,1,22.87767624,2.05694517,13.503407310999998,2.995336162,4.7526664489999995
Arghakhanchi,2006-03-02,27.9,83.2,3.995685379,93.13446475,10.53947781,54.60883812,22.49042428,11.25681462,28.28018277,17.89995431,10.38020888,21.95193864,2.419144909,4.133263708,0.927715405,3.20560705,3.280065274,4.90113577,1.319210183,3.581795039,2006,3,23.544372061,1.165544745698325,0,0,22.66255222,2.355006527,11.233609659999999,2.8496050915,4.5171997390000005
Arghakhanchi,2010-05-12,27.9,83.2,4.486573107,93.08341384,10.98619452,57.60660574,22.49498695,12.19141645,28.09589426,18.00729765,10.08853133,22.02149478,2.483002611,4.28613577,0.983394256,3.302565274,3.36267624,5.032362924,1.422969974,3.609386423,2010,5,23.593606402000002,1.0682491190233083,0,0,22.49042428,3.995685379,10.303570500000001,2.9228394255,4.659249346999999
Arghakhanchi,2014-07-22,27.9,83.2,4.649614631,93.13306989,11.37367734,56.94157413,22.88565643,12.57433703,28.42789027,18.52211626,9.905911169,22.18484651,2.439902025,4.154624428,0.946910516,3.207655127,3.351815807,5.005865447,1.384911822,3.62101241,2014,7,24.023024164000002,1.0486246938607446,1,0,22.49498695,4.486573107,10.3113194,2.895858916,4.5802449375
Arghakhanchi,2018-09-30,27.9,83.2,3.549015317,93.29811816,10.68102845,58.74901532,21.53161926,12.02814004,27.13641138,17.2638512,9.873172867,20.83549234,2.39190372,4.122100656,0.913304158,3.20892779,3.292275711,4.99940919,1.295448578,3.704245077,2018,9,22.599722104999998,1.222943442453265,1,0,22.88565643,4.649614631,9.50347922,2.8420897155000002,4.560754922999999
Baglung,1981-01-01,28.3,83.6,2.31982376,79.24483681,7.483093995,56.46227154,13.10631201,3.232167102,18.87939295,8.722513055,10.15693864,12.43936684,2.190084856,4.699804178,0.404889034,4.294928198,2.192284595,4.09924282,0.521631854,3.577519582,1981,1,13.8546214095,1.19218268372436,0,1,21.53161926,3.549015317,9.874144908,2.1911847255,4.399523499
Baglung,1985-03-12,28.3,83.6,2.002415144,79.26155352,7.19671671,52.42367493,14.0113577,2.629477807,20.0341188,9.357969974,10.67610313,13.50842689,2.289556136,4.894086162,0.428877285,4.465110966,2.274523499,4.243322454,0.555802872,3.687761097,1985,3,14.731029371,1.2847054179599042,0,0,13.10631201,2.31982376,11.381879893,2.2820398175,4.568704308
Baglung,1989-05-22,28.3,83.6,1.921847258,79.27272193,7.570998695,53.37369452,14.17783943,3.179360313,20.12219974,9.670339426,10.45168407,13.88321149,2.306305483,4.980450392,0.424556136,4.556148825,2.288792428,4.293035248,0.553204961,3.739889034,1989,5,14.9349392995,1.30612791681709,0,0,14.0113577,2.002415144,10.998479117,2.2975489555,4.63674282
Baglung,1993-08-01,28.3,83.6,1.488785901,79.26475849,7.394634465,51.35910574,14.17563969,2.63308094,20.25208877,9.593407311,10.65879896,13.87558094,2.318479112,5.065456919,0.420639687,4.644660574,2.292650131,4.366083551,0.538328982,3.827748042,1993,8,14.9151031365,1.3920216899236975,1,0,14.17783943,1.921847258,11.542558750000001,2.3055646215,4.715770235
Baglung,1997-10-11,28.3,83.6,1.569706266,79.2720953,7.402317232,51.42862272,14.10691253,2.443981723,20.2195235,9.593100522,10.62630548,13.67939295,2.28386423,4.9675,0.413133159,4.554477807,2.232604439,4.224255875,0.527695822,3.696579634,1997,10,14.8471442532,1.373717161207597,0,0,14.17563969,1.488785901,11.662930807,2.2582343345,4.5958779375
Baglung,2001-12-21,28.3,83.6,2.124007833,79.3157376,7.485326371,54.81974543,13.72320496,3.193041775,19.61503264,9.292251958,10.32289817,13.11139687,2.203015666,4.746129243,0.402108355,4.344001305,2.170737598,4.066109661,0.510345953,3.555822454,2001,12,14.4717375971,1.251171333013024,0,1,14.10691253,1.569706266,10.530163185,2.186876632,4.406119452
Baglung,2006-03-02,28.3,83.6,3.479634465,79.29347258,8.361755875,61.64374674,13.79799608,5.045137076,19.22520235,9.564353786,9.660842037,13.08730418,2.116873368,4.443518277,0.418472585,4.025117493,2.112258486,3.828479112,0.525620104,3.302447781,2006,3,14.6341716675,0.9845096479327857,0,0,13.72320496,2.124007833,8.752859004000001,2.114565927,4.1359986945
Baglung,2010-05-12,28.3,83.6,4.312813316,79.24837467,8.735117493,64.71854439,13.80151436,5.887330287,19.05177546,9.643505222,9.408178851,13.1938577,2.160600522,4.53982376,0.441240209,4.098472585,2.177310705,3.970828982,0.562650131,3.408270235,2010,5,14.675026109300001,0.8192329364784728,0,0,13.79799608,3.479634465,7.914184073,2.1689556135,4.255326371
Baglung,2014-07-22,28.3,83.6,5.479973873,79.31553233,9.317224037,67.64749837,13.99659046,6.918314827,18.89560418,10.15792293,8.737642064,12.98568256,2.064173743,4.270842587,0.437753103,3.83291966,2.119418681,3.782945787,0.559790986,3.223024167,2014,7,14.9283128637,0.5939056930572915,1,0,13.80151436,4.312813316,7.0782756330000005,2.091796212,4.026894187
Baglung,2018-09-30,28.3,83.6,4.108905908,79.39789934,8.580525164,68.64938731,12.5395186,5.803632385,17.58682713,8.626739606,8.960153173,11.44043764,1.982669584,4.124376368,0.388227571,3.735886214,2.030393873,3.645798687,0.498512035,3.147483589,2018,9,13.3975711164,0.8185541038885256,1,0,13.99659046,5.479973873,6.735886214999999,2.0065317284999997,3.8850875275
Baitadi,1981-01-01,29.5,80.5,1.51671671,73.7964752,6.043413838,54.34444517,8.950979112,-0.85171671,15.4370953,3.700424282,11.73686684,8.515189295,2.305522193,4.906233681,0.389778068,4.516214099,2.269353786,4.339301567,0.480254569,3.859151436,1981,1,9.5553204958,1.2160923485407569,0,1,12.5395186,4.108905908,9.802695822,2.2874379895,4.622767624
Baitadi,1985-03-12,29.5,80.5,1.300900783,73.83060052,5.757480418,49.26956266,10.04708225,-1.427193211,16.73295692,4.530261097,12.20278068,9.827682768,2.377447781,5.10348564,0.391964752,4.711409922,2.329007833,4.4995953,0.484745431,4.014843342,1985,3,10.622830291800001,1.2946789718506886,0,0,8.950979112,1.51671671,11.474275461000001,2.3532278069999997,4.80154047
Baitadi,1989-05-22,29.5,80.5,0.919830287,73.83657963,6.049882507,49.71825718,10.40407963,-0.847245431,17.05936684,5.090372063,11.96889687,10.53954308,2.400972585,5.248785901,0.3854047,4.863198433,2.326455614,4.583668407,0.476103133,4.107428198,1989,5,11.0090678807,1.3819662362032052,0,0,10.04708225,1.300900783,11.251325061,2.3637140995,4.9162271539999995
Baitadi,1993-08-01,29.5,80.5,1.014543081,73.82715405,6.265248042,51.65322454,10.20569191,-0.516690601,16.74738903,5.012082245,11.7352611,10.25603133,2.383061358,5.219862924,0.388844648,4.831259791,2.310385117,4.554889034,0.4804047,4.074353786,1993,8,10.832216714200001,1.3566953731074989,1,0,10.40407963,0.919830287,10.722382511000001,2.3467232375,4.887375979
Baitadi,1997-10-11,29.5,80.5,1.124288512,73.83568538,6.050300261,49.60571149,10.12432115,-1.319314621,16.78847911,4.882552219,11.90585509,9.956083551,2.355966057,5.104438642,0.388779373,4.715456919,2.285704961,4.435130548,0.481436031,3.953642298,1997,10,10.7293511761,1.332256551481984,0,0,10.20569191,1.014543081,11.443635771,2.320835509,4.769784595
Baitadi,2001-12-21,29.5,80.5,1.619967363,73.8719517,6.096938642,52.93287859,9.730398172,-0.674614883,16.11284595,4.591018277,11.52204961,9.337134465,2.29247389,4.877885117,0.396827676,4.481142298,2.255796345,4.292604439,0.493446475,3.799373368,2001,12,10.3400920362,1.2210145741429959,0,1,10.12432115,1.124288512,10.405013055,2.2741351175,4.585244778
Baitadi,2006-03-02,29.5,80.5,2.128994778,73.86210183,6.738035248,57.68214752,9.95787859,0.788805483,15.99845953,4.925613577,11.07293734,9.54020235,2.240822454,4.683322454,0.416031332,4.267513055,2.221194517,4.134353786,0.516821149,3.617447781,2006,3,10.6316821148,1.1273878204813066,0,0,9.730398172,1.619967363,9.169073107,2.2310084855,4.40883812
Baitadi,2010-05-12,29.5,80.5,2.643648825,73.81586815,7.313746736,64.16139687,9.878446475,2.29348564,15.54068538,5.096690601,10.44409269,9.510691906,2.255613577,4.716801567,0.412911227,4.303975196,2.255835509,4.242447781,0.518929504,3.723590078,2010,5,10.6098211486,1.022635214129451,0,0,9.95787859,2.128994778,7.584960835,2.2557245430000004,4.479624674
Baitadi,2014-07-22,29.5,80.5,2.073350751,73.88775963,7.521208361,61.67010451,10.66363161,2.513200523,16.47784455,5.997903331,10.47993468,10.34916395,2.307589811,4.967550621,0.424761594,4.542952319,2.30661659,4.448719791,0.533866754,3.914781189,2014,7,11.415752446099999,1.161449306364018,1,0,9.878446475,2.643648825,8.150431087,2.3071032005000003,4.708135206
Baitadi,2018-09-30,29.5,80.5,1.838774617,73.93866521,6.72809628,64.09772429,8.591684902,1.173873085,14.57765864,3.614485777,10.96299781,7.895273523,2.202450766,4.642888403,0.404398249,4.238774617,2.21452954,4.196630197,0.49892779,3.697789934,2018,9,9.26449453,1.1404445654151996,1,0,10.66363161,2.073350751,7.4178118170000005,2.208490153,4.4197593
Bajang,1981-01-01,29.6,81.2,1.332362924,67.8669517,5.276083551,58.97340731,4.31631201,-3.691194517,10.97082898,-1.085711488,12.05659922,4.210750653,2.513178851,5.495169713,0.503622715,4.991455614,2.470182768,4.91866188,0.624125326,4.294451697,1981,1,4.8439203651,1.1015435580003479,0,1,8.591684902,1.838774617,8.007506527,2.4916808095,5.206915796500001
Bajang,1985-03-12,29.6,81.2,1.14022846,67.91326371,5.064758486,53.34084204,5.450274151,-4.126142298,12.33178198,-0.190874674,12.52250653,5.652637076,2.607389034,5.759608355,0.515234987,5.244229765,2.549765013,5.133446475,0.635900783,4.497597911,1985,3,5.9567499996,1.1766639013136695,0,0,4.31631201,1.332362924,9.576416449,2.5785770235000003,5.446527415
Bajang,1989-05-22,29.6,81.2,0.764889034,67.9193799,5.300750653,53.28975196,5.90906658,-3.630150131,12.79248695,0.452956919,12.33962794,6.498237598,2.650770235,5.970750653,0.484281984,5.486409922,2.567219321,5.283857702,0.597715405,4.686116188,1989,5,6.4391416453,1.266133217091218,0,0,5.450274151,1.14022846,9.539216711,2.608994778,5.627304177499999
Bajang,1993-08-01,29.6,81.2,0.697545692,67.90876632,5.382839426,53.78441253,5.817486945,-3.581011749,12.68253916,0.427917755,12.25460836,6.394588773,2.644086162,6.029928198,0.459281984,5.570587467,2.55323107,5.338387728,0.567238903,4.77098564,1993,8,6.355770887599999,1.2765147461029789,1,0,5.90906658,0.764889034,9.398498694,2.598658616,5.6841579630000005
Bajang,1997-10-11,29.6,81.2,0.836272846,67.92018277,5.205789817,51.74866188,5.728681462,-4.307859008,12.70752611,0.263511749,12.44395561,6.085195822,2.602251958,5.849092689,0.483355091,5.365691906,2.517578329,5.158909922,0.595848564,4.563126632,1997,10,6.2492604437,1.2460804042938949,0,0,5.817486945,0.697545692,10.03654047,2.5599151435,5.5040013055
Bajang,2001-12-21,29.6,81.2,1.268746736,67.94996084,5.251520888,55.48286554,5.251214099,-3.742545692,11.9268799,-0.110620104,12.03755875,5.371546997,2.518446475,5.555345953,0.490672324,5.064719321,2.465019582,4.932278068,0.602251958,4.329967363,2001,12,5.7763661878,1.144660503186211,0,1,5.728681462,0.836272846,8.993759791,2.4917330285,5.243812010499999
Bajang,2006-03-02,29.6,81.2,1.871331593,67.94851828,5.867023499,61.84744125,5.420979112,-2.104765013,11.65009791,0.215718016,11.43427546,5.411762402,2.439203655,5.281181462,0.523407311,4.757656658,2.411997389,4.708439948,0.648505222,4.059980418,2006,3,6.007681461900001,1.0305797901069733,0,0,5.251214099,1.268746736,7.525744125000001,2.425600522,4.994810705
Bajang,2010-05-12,29.6,81.2,2.189112272,67.90609661,6.347721932,68.42306789,5.34805483,-0.812565274,11.20759791,0.380776762,10.82687337,5.305639687,2.467062663,5.314406005,0.50729765,4.807075718,2.450620104,4.800032637,0.630339426,4.169543081,2010,5,5.9828270232,0.9651200655540626,0,0,5.420979112,1.871331593,6.1606201039999995,2.4588413835000003,5.057219321
Bajang,2014-07-22,29.6,81.2,1.85354017,67.98222077,6.545832789,65.86011757,6.193533638,-0.503030699,12.18357936,1.348314827,10.83524494,6.248458524,2.509268452,5.516623122,0.51260614,5.004239059,2.493331156,4.9634226,0.643638145,4.319954278,2014,7,6.8481169169000005,1.0593057951499916,1,0,5.34805483,2.189112272,6.696564337,2.5012998040000003,5.240022861
Bajang,2018-09-30,29.6,81.2,1.710109409,67.99862144,5.825098468,69.07785558,3.972122538,-1.981772429,10.08706783,-1.204442013,11.29135667,3.508708972,2.394551422,5.201728665,0.485010941,4.716914661,2.396345733,4.733829322,0.591181619,4.142603939,2018,9,4.5546323848,1.0153338187966519,1,0,6.193533638,1.85354017,5.953894967,2.3954485775,4.9677789935
Banke,1981-01-01,28.1,81.7,2.968727154,92.24182115,9.261214099,49.98272846,21.3342624,9.102950392,27.60443211,16.31941906,11.28488251,20.63460183,2.457721932,4.199412533,0.98497389,3.214249347,3.2295953,4.806207572,1.377956919,3.428368146,1981,1,22.2603838099,1.3316982998813491,0,1,3.972122538,1.710109409,12.231312008,2.843658616,4.5028100525
Banke,1985-03-12,28.1,81.7,2.652160574,92.22553525,8.734236292,45.2421671,22.42674282,8.008805483,28.9444517,17.05465405,11.88968668,21.91756527,2.546729765,4.377650131,1.00901436,3.368746736,3.326631854,4.982127937,1.425842037,3.556331593,1985,3,23.300166449200002,1.4301664435463564,0,0,21.3342624,2.968727154,14.417937337000001,2.9366808095,4.679889034
Banke,1989-05-22,28.1,81.7,2.436390339,92.23221932,9.095084856,45.32197128,22.67495431,8.413870757,29.11486945,17.45563316,11.65907311,22.32096606,2.553629243,4.431455614,0.974523499,3.456801567,3.327950392,5.004484334,1.375561358,3.629151436,1989,5,23.5844627956,1.4810928362530864,0,0,22.42674282,2.652160574,14.261083553,2.9407898175,4.717969974
Banke,1993-08-01,28.1,81.7,1.578139687,92.22659269,8.731148825,42.16965405,22.88291123,7.566984334,29.54425587,17.53953655,12.0049282,22.6662859,2.589451697,4.626148825,0.941775457,3.684503916,3.32868799,5.070835509,1.335091384,3.735744125,1993,8,23.756026112500003,1.6582430229932101,1,0,22.67495431,2.436390339,15.315926896,2.9590698435,4.848492167
Banke,1997-10-11,28.1,81.7,1.897167102,92.24013708,8.814732376,43.57939948,22.4512859,7.540208877,29.04507833,17.28710836,11.75820496,22.02456266,2.444321149,4.35424282,0.881507833,3.472787206,3.118981723,4.766057441,1.21323107,3.552715405,1997,10,23.3327591376,1.580837973909657,0,0,22.88291123,1.578139687,14.911077022999997,2.7816514359999998,4.5601501305
Banke,2001-12-21,28.1,81.7,2.332199739,92.29216057,9.022924282,46.829047,22.19557441,8.596899478,28.57337467,17.15501305,11.41840078,21.66900131,2.446292428,4.260881201,0.917539164,3.34328329,3.167101828,4.797826371,1.275097911,3.522656658,2001,12,23.097866838199998,1.4861419735771442,0,1,22.4512859,1.897167102,13.598674932,2.8066971279999997,4.529353786
Banke,2006-03-02,28.1,81.7,3.607467363,92.25411227,10.25501958,53.9504047,22.06631201,10.81951044,27.9593342,17.29353786,10.66577023,21.45682115,2.338681462,3.962382507,0.941409922,3.020874674,3.065483029,4.556912533,1.312428198,3.244516971,2006,3,23.091813968,1.2287775513610084,0,0,22.19557441,2.332199739,11.24680157,2.7020822454999998,4.25964752
Banke,2010-05-12,28.1,81.7,4.154079634,92.204047,10.77251305,57.81885117,22.09997389,11.88922324,27.72257833,17.4960248,10.22668407,21.57574413,2.396860313,4.12095953,0.970861619,3.150071802,3.156377285,4.705698433,1.400411227,3.30537859,2010,5,23.177225195000002,1.121369212386992,0,0,22.06631201,3.607467363,10.210750650000001,2.776618799,4.4133289815
Banke,2014-07-22,28.1,81.7,4.096335728,92.25883083,10.97828217,55.5097518,22.52478119,11.89321359,28.21674722,17.98234487,10.23437622,21.79818419,2.359908556,4.117021555,0.900783801,3.215858916,3.115179621,4.696172436,1.314206401,3.382018289,2014,7,23.622609407,1.1466854295912183,1,0,22.09997389,4.154079634,10.631567599999999,2.7375440885,4.4065969955
Banke,2018-09-30,28.1,81.7,3.291028446,92.42179431,10.49772429,59.73967177,20.86540481,11.71400438,26.42472648,16.46829322,9.95654267,20.01684902,2.243435449,3.914135667,0.844004376,3.070262582,2.952210066,4.543676149,1.195798687,3.347943107,2018,9,21.915177239000002,1.252429158731049,1,0,22.52478119,4.096335728,9.15140043,2.5978227575000004,4.228905908
Bara,1981-01-01,27.2,85.0,2.47444517,95.19920366,9.854471279,48.28398825,23.28535901,10.13094648,29.69108355,18.21078329,11.48037859,22.97106397,2.413975196,4.095593995,0.928146214,3.167708877,3.32651436,4.950110966,1.368531332,3.581442559,1981,1,24.2708061379,1.493445018609353,0,1,20.86540481,3.291028446,13.15441253,2.870244778,4.522852480499999
Bara,1985-03-12,27.2,85.0,2.60075718,95.18218016,9.810815927,48.24375326,23.93167102,10.09617493,30.29617493,18.76430157,11.53159922,23.69571149,2.428479112,4.091233681,0.928093995,3.163035248,3.33441906,4.96093342,1.374281984,3.586325065,1985,3,24.9127526127,1.489448571247118,0,0,23.28535901,2.47444517,13.83549609,2.881449086,4.5260835505
Bara,1989-05-22,27.2,85.0,2.038296345,95.18530679,9.714125326,44.22390339,24.5287859,9.651063969,31.06221279,19.27144909,11.79077023,24.49951044,2.539791123,4.250287206,0.991031332,3.259412533,3.467767624,5.169908616,1.480848564,3.688733681,1989,5,25.500198432599998,1.62057363569817,0,0,23.93167102,2.60075718,14.877721930999998,3.0037793735,4.710097911
