,Country_Name,Country_ISO3,Year,#indicator+name,"Access_to_electricity,_rural_pct_of_rural_population",Agricultural_irrigated_land_pct_of_total_agricultural_land,Agricultural_land_pct_of_land_area,Agricultural_land_sq._km,Agricultural_raw_materials_exports_pct_of_merchandise_exports,Agricultural_raw_materials_imports_pct_of_merchandise_imports,"Agriculture,_forestry,_and_fishing,_value_added_pct_of_GDP","Agriculture,_forestry,_and_fishing,_value_added_current_US$","Annual_freshwater_withdrawals,_agriculture_pct_of_total_freshwater_withdrawal",Arable_land_pct_of_land_area,Arable_land_hectares_per_person,Arable_land_hectares,Average_precipitation_in_depth_mm_per_year,Cereal_production_metric_tons,Cereal_yield_kg_per_hectare,Crop_production_index_2014-2016_=_100,Employment_in_agriculture_pct_of_total_employment_modeled_ILO_estimate,"Employment_in_agriculture,_female_pct_of_female_employment_modeled_ILO_estimate","Employment_in_agriculture,_male_pct_of_male_employment_modeled_ILO_estimate",Fertilizer_consumption_pct_of_fertilizer_production,Fertilizer_consumption_kilograms_per_hectare_of_arable_land,Food_production_index_2014-2016_=_100,Forest_area_pct_of_land_area,Forest_area_sq._km,Land_area_sq._km,Land_under_cereal_production_hectares,Livestock_production_index_2014-2016_=_100,Permanent_cropland_pct_of_land_area,Rural_land_area_sq._km,Rural_land_area_where_elevation_is_below_5_meters_pct_of_total_land_area,Rural_land_area_where_elevation_is_below_5_meters_sq._km,Rural_population,Rural_population_pct_of_total_population,Rural_population_growth_annual_pct,Rural_population_living_in_areas_where_elevation_is_below_5_meters_pct_of_total_population,Surface_area_sq._km
0,#country+name,#country+code,#date+year,#indicator+value+num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nepal,NPL,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9771355,96.52,,,
2,Nepal,NPL,1961,,,,24.84615385,35530,,,,,,12.62937063,0.175027204,1806000,1500,3167000,1846.6,20.08,,,,,0.082502769,21.05,,,143000,1715000,25.51,0.174825175,,,,9949926,96.429,1.810996765,,147180
3,Nepal,NPL,1962,,,,24.84615385,35530,,,,,,12.62937063,0.171654794,1806000,1500,3177026,1842.3,20.19,,,,,0.238648948,21.28,,,143000,1724500,26.17,0.174825175,,,,10141093,96.388,1.903066932,,147180
4,Nepal,NPL,1963,,,,24.91608392,35630,,,,,,12.6993007,0.169247978,1816000,1500,3181578,1843.9,20.51,,,,,0.34746696,21.68,,,143000,1725500,26.92,0.174825175,,,,10337858,96.347,1.921690767,,147180
5,Nepal,NPL,1964,,,,24.84615385,35530,,,,,,12.62937063,0.164985869,1806000,1500,3280500,1883.2,20.83,,,,,0.565891473,22.03,,,143000,1742000,27.34,0.174825175,,,,10541923,96.305,1.954728334,,147180
6,Nepal,NPL,1965,,,,24.84615385,35530,,,64.58407648,474865454.8,,12.62937063,0.161633721,1806000,1500,3335000,1867.3,21.63,,,,,0.61406423,22.65,,,143000,1786000,27.88,0.174825175,,,,10755861,96.263,2.009084101,,147180
7,Nepal,NPL,1966,,,,24.84615385,35530,,,68.69300568,622916380.1,,12.62937063,0.158300106,1806000,1500,3126325,1742,20.39,,,,,1.882613511,21.78,,,143000,1794700,28.2,0.174825175,,,,10977461,96.22,2.039335542,,147180
8,Nepal,NPL,1967,,,,24.94405594,35670,,,66.23538322,557684722.4,,12.72027972,0.156100947,1819000,1500,3165429,1738.2,20.92,,,,,1.45684442,22.48,,,143000,1821090,29.07,0.181818182,,,,11207233,96.177,2.071520271,,147180
9,Nepal,NPL,1968,,,,24.94405594,35670,,,67.39160414,520419119.3,,12.72027972,0.152776698,1819000,1500,3291912,1724,21.54,,,,,1.687190764,23.08,,,143000,1909470,29.89,0.181818182,,,,11445851,96.133,2.106793282,,147180
